time,G,PLC,Ca
0.0,15.848086258273106,-0.48273444321143444,14.00656400874484
5.0,10074.565197791191,15117.040166152452,1427.5764163371737
10.0,10.400821928295604,4483.4688979026632,1.5580495993345924
15.0,7852.8038581963292,9312.6798838773175,340.82021855868868
20.0,7936.7505416211488,15167.902005287531,394.29883534051709
25.0,200.76303137368595,562.14468277465949,-7.8878359220611181
30.0,10144.324113520459,15728.700959055013,1839.1340096136805
40.0,10992.227564917966,12072.30480164911,5480.4606487349556
50.0,1834.1398951813151,904.44634993591501,40.902893514549142
60.0,10.295913191706278,3174.7319873453243,-2.9265577258034963
80.0,9743.4342085222852,15674.100334847088,1118.8463906504019
nan,nan,nan,nan
