time,G,PLC,Ca
0.0,10.0,10.0,10.0
2.0408163265306123,11664.0,4392.0,1863.0
4.0816326530612246,9698.0,12846.0,801.0
6.1224489795918373,9655.0,16170.0,1041.0
8.1632653061224492,6379.0,14170.0,211.0
10.204081632653061,10.0,3673.0,0.0
12.244897959183675,173.0,485.0,3.0
14.285714285714286,13036.0,5975.0,4222.0
16.326530612244898,10290.0,13642.0,1257.0
18.367346938775512,9307.0,16097.0,951.0
20.408163265306122,7421.0,14576.0,344.0
22.448979591836736,3.0,5833.0,0.0
24.489795918367349,87.0,761.0,2.0
26.530612244897959,7632.0,3029.0,337.0
28.571428571428573,8617.0,12708.0,2374.0
30.612244897959183,9536.0,16283.0,870.0
32.653061224489797,3831.0,12928.0,85.0
34.693877551020407,14.0,2351.0,0.0
36.734693877551024,283.0,410.0,3.0
38.775510204081634,9689.0,8497.0,10014.0
40.816326530612244,10991.0,14138.0,2726.0
42.857142857142861,9825.0,16346.0,1133.0
44.897959183673471,6294.0,14356.0,195.0
46.938775510204081,6.0,3315.0,0.0
48.979591836734699,208.0,459.0,1.0
51.020408163265309,13365.0,6201.0,6011.0
53.061224489795919,10479.0,14358.0,2638.0
55.102040816326529,9214.0,15882.0,718.0
57.142857142857146,7300.0,14362.0,320.0
59.183673469387756,2.0,6879.0,0.0
61.224489795918366,50.0,935.0,0.0
63.265306122448983,3383.0,1357.0,73.0
65.306122448979593,10109.0,11998.0,5482.0
67.34693877551021,9796.0,15820.0,1044.0
69.387755102040813,8343.0,15824.0,490.0
71.428571428571431,1945.0,10177.0,29.0
73.469387755102048,16.0,1497.0,0.0
75.510204081632651,1194.0,569.0,21.0
77.551020408163268,7067.0,9231.0,298.0
79.591836734693885,10011.0,15113.0,1905.0
81.632653061224488,8963.0,16289.0,723.0
83.673469387755105,4.0,8270.0,0.0
85.714285714285722,30.0,1012.0,0.0
87.755102040816325,2829.0,1230.0,45.0
89.795918367346943,11528.0,11935.0,5029.0
91.83673469387756,9895.0,15724.0,1250.0
93.877551020408163,8740.0,15888.0,560.0
95.91836734693878,327.0,9882.0,2.0
97.959183673469397,29.0,1466.0,0.0
nan,nan,nan,nan
